oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2023-02-04 14:50:57+00:00,2023-02-04 15:35:50+00:00,official
Lvivska oblast,,,oblast,2023-02-10 06:28:33+00:00,2023-02-10 09:58:59+00:00,official
Lvivska oblast,,,oblast,2023-02-10 11:16:44+00:00,2023-02-10 12:41:20+00:00,official
Lvivska oblast,,,oblast,2023-02-10 14:32:37+00:00,2023-02-10 16:27:10+00:00,official
Lvivska oblast,,,oblast,2023-02-14 07:11:53+00:00,2023-02-14 08:58:07+00:00,official
Lvivska oblast,,,oblast,2023-02-16 00:54:58+00:00,2023-02-16 02:26:05+00:00,official
Lvivska oblast,,,oblast,2023-02-16 10:13:19+00:00,2023-02-16 10:37:25+00:00,official
Lvivska oblast,,,oblast,2023-02-17 11:45:12+00:00,2023-02-17 12:11:51+00:00,official
Lvivska oblast,,,oblast,2023-02-17 13:43:46+00:00,2023-02-17 14:05:32+00:00,official
Lvivska oblast,,,oblast,2023-02-18 06:40:16+00:00,2023-02-18 07:37:33+00:00,official
Lvivska oblast,,,oblast,2023-02-20 09:35:13+00:00,2023-02-20 11:07:02+00:00,official
Lvivska oblast,,,oblast,2023-02-22 07:06:13+00:00,2023-02-22 09:01:22+00:00,official
Lvivska oblast,,,oblast,2023-02-25 07:22:47+00:00,2023-02-25 07:53:15+00:00,official
Lvivska oblast,,,oblast,2023-02-25 13:57:35+00:00,2023-02-25 14:18:01+00:00,official
Lvivska oblast,,,oblast,2023-02-27 06:26:22+00:00,2023-02-27 07:24:32+00:00,official
Lvivska oblast,,,oblast,2023-03-02 16:54:43+00:00,2023-03-02 17:13:39+00:00,official
Lvivska oblast,,,oblast,2023-03-03 07:10:32+00:00,2023-03-03 08:54:34+00:00,official
Lvivska oblast,,,oblast,2023-03-06 07:08:03+00:00,2023-03-06 08:49:24+00:00,official
Lvivska oblast,,,oblast,2023-03-07 08:32:57+00:00,2023-03-07 08:57:30+00:00,official
Lvivska oblast,,,oblast,2023-03-07 10:23:46+00:00,2023-03-07 10:41:32+00:00,official
Lvivska oblast,,,oblast,2023-03-07 12:10:21+00:00,2023-03-07 12:35:50+00:00,official
Lvivska oblast,,,oblast,2023-03-09 00:38:36+00:00,2023-03-09 04:46:58+00:00,official
Lvivska oblast,,,oblast,2023-03-09 10:59:52+00:00,2023-03-09 12:20:49+00:00,official
Lvivska oblast,,,oblast,2023-03-10 07:13:14+00:00,2023-03-10 08:35:43+00:00,official
Lvivska oblast,,,oblast,2023-03-14 11:01:38+00:00,2023-03-14 11:31:05+00:00,official
Lvivska oblast,,,oblast,2023-03-14 12:32:07+00:00,2023-03-14 12:56:13+00:00,official
